"","Original","Adjusted","VSpNm","genus","family","life_form","code","txresol","life_form_w","threat_st"
"448","Erythrina po","Erythrina poeppigiana","Erythrina poeppigiana","Erythrina","Fabaceae","tree","Erytpoep","species","tree",NA
"449","Erythrina poeppigiana","Erythrina poeppigiana","Erythrina poeppigiana","Erythrina","Fabaceae","tree","Erytpoep","species","tree",NA
"450","Erythrina rubrinervia","Erythrina rubrinervia","Erythrina rubrinervia","Erythrina","Fabaceae",NA,"Erytrubri","species",NA,NA
"451","Erythrina sp","Erythrina sp","Erythrina","Erythrina","Fabaceae",NA,"Erytsp","genus",NA,NA
"452","Erythrina velutina","Erythrina velutina","Erythrina velutina","Erythrina","Fabaceae","tree","Erytvelu","species","tree",NA
"453","Erythroxylum cf suberosum","Erythroxylum suberosum","Erythroxylum suberosum","Erythroxylum","Erythroxylaceae",NA,"Erytsuber","species","tree",NA
"454","Erythroxylum citrifolium","Erythroxylum citrifolium","Erythroxylum citrifolium","Erythroxylum","Erythroxylaceae","treelet","Erytcitr","species","treelet",NA
"455","Erythroxylum haughtii","Erythroxylum haughtii","Erythroxylum haughtii","Erythroxylum","Erythroxylaceae",NA,"Erythaugh","species",NA,NA
"456","Erythroxylum havanense","Erythroxylum havanensis","Erythroxylum havanense","Erythroxylum","Erythroxylaceae",NA,"Erythavan","species",NA,NA
"457","Erythroxylum havanensis","Erythroxylum havanensis","Erythroxylum havanense","Erythroxylum","Erythroxylaceae",NA,"Erythavan","species",NA,NA
"458","Erythroxylum hondense","Erythroxylum hondense","Erythroxylum hondense","Erythroxylum","Erythroxylaceae","shrub","Erythond","species","shrub",NA
"459","Erythroxylum macrophyllum","Erythroxylum macrophyllum","Erythroxylum macrophyllum","Erythroxylum","Erythroxylaceae","tree","Erytmacr","species","tree",NA
"460","Erythroxylum williamsii","Erythroxylum williamsii","Erythroxylum williamsii","Erythroxylum","Erythroxylaceae",NA,"Erytwilli","species",NA,NA
"461","Erytrina fusca","Erythrina fusca","Erythrina fusca","Erythrina","Fabaceae",NA,"Erytfusca","species","tree",NA
"462","Erytrina poepigiana","Erythrina poeppigiana","Erythrina poeppigiana","Erythrina","Fabaceae","tree","Erytpoep","species","tree",NA
"463","Erytrina poeppigiana","Erythrina poeppigiana","Erythrina poeppigiana","Erythrina","Fabaceae","tree","Erytpoep","species","tree",NA
"464","Escheweilera tenuifolia","Eschweilera tenuifolia","Eschweilera tenuifolia","Eschweilera","Lecythidaceae","tree","Eschtenu","species","tree",NA
"465","Eschweilera sp","Eschweilera sp","Eschweilera","Eschweilera","Lecythidaceae","tree","Eschsp","genus","tree",NA
"466","Esenbeckia panamensis","Esenbeckia panamensis","Esenbeckia panamensis","Esenbeckia","Rutaceae",NA,"Esenpanam","species",NA,NA
"467","Esterculiaceae sp","Sterculiaceae","Sterculiaceae","Sterculiaceae",NA,NA,"Sterfm","family",NA,NA
"468","Eugenia biflora","Eugenia biflora","Eugenia biflora","Eugenia","Myrtaceae","treelet","Eugebifl","species","treelet",NA
"469","Eugenia monticola","Eugenia monticola","Eugenia monticola","Eugenia","Myrtaceae","tree","Eugemont","species","tree",NA
"470","Eugenia pr","Eugenia sp","Eugenia","Eugenia","Myrtaceae","tree","Eugesp","genus","tree",NA
"471","Eugenia procera","Eugenia procera","Eugenia procera","Eugenia","Myrtaceae","tree","Eugeproc","species","tree",NA
"472","Eugenia schomburgkii","Eugenia schomburgkii","Eugenia schomburgkii","Eugenia","Myrtaceae",NA,"Eugeschom","species","tree",NA
"473","Eugenia sp","Eugenia sp","Eugenia","Eugenia","Myrtaceae","tree","Eugesp","genus","tree",NA
"474","Euphor sp","Euphorbia sp","Euphorbia","Euphorbia","Euphorbiaceae",NA,"Euphsp","genus",NA,NA
"475","Euphorbia conitifolia","Euphorbia cotinifolia","Euphorbia cotinifolia","Euphorbia","Euphorbiaceae","treelet","Euphcoti","species","treelet",NA
"476","Euphorbia cotini","Euphorbia cotinifolia","Euphorbia cotinifolia","Euphorbia","Euphorbiaceae","treelet","Euphcoti","species","treelet",NA
"477","Euphorbia cotinifolia","Euphorbia cotinifolia","Euphorbia cotinifolia","Euphorbia","Euphorbiaceae","treelet","Euphcoti","species","treelet",NA
"478","Euphorbia sp","Euphorbia sp","Euphorbia","Euphorbia","Euphorbiaceae",NA,"Euphsp","genus",NA,NA
"479","Euterpe precatoira","Euterpe precatoria","Euterpe precatoria","Euterpe",NA,NA,"Eutepreca","species","palm",NA
"480","Euterpe precatoria","Euterpe precatoria","Euterpe precatoria","Euterpe",NA,NA,"Eutepreca","species","palm",NA
"481","Euterpe sp","Euterpe sp","Euterpe","Euterpe",NA,NA,"Eutesp","genus",NA,NA
"482","Fabaceae sp","Fabaceae","Fabaceae","Fabaceae",NA,NA,"Fabafm","family",NA,NA
"483","Ficis sp","Ficus sp","Ficus","Ficus","Moraceae","tree","Ficusp","genus","tree",NA
"484","Ficu sp","Ficus sp","Ficus","Ficus","Moraceae","tree","Ficusp","genus","tree",NA
"485","Ficus cf glabrata","Ficus glabrata","Ficus glabrata","Ficus","Moraceae",NA,"Ficuglabr","species","tree",NA
"486","Ficus cf insipida","Ficus insipida","Ficus insipida","Ficus","Moraceae",NA,"Ficuinsip","species","tree",NA
"487","Ficus cf nymphaeifolia","Ficus nymphaeifolia","Ficus nymphaeifolia","Ficus","Moraceae",NA,"Ficunymph","species","tree",NA
"488","Ficus cf obtusifolia","Ficus obtusifolia","Ficus obtusifolia","Ficus","Moraceae","tree","Ficuobtu","species","tree",NA
"489","Ficus dendrocida","Ficus dendrocida","Ficus dendrocida","Ficus","Moraceae",NA,"Ficudendr","species",NA,NA
"490","Ficus glabrata","Ficus glabrata","Ficus glabrata","Ficus","Moraceae",NA,"Ficuglabr","species","tree",NA
"491","Ficus insipida","Ficus insipida","Ficus insipida","Ficus","Moraceae",NA,"Ficuinsip","species","tree",NA
"492","Ficus lyrata","Ficus lyrata","Ficus lyrata","Ficus","Moraceae",NA,"Ficulyrat","species","tree",NA
"493","Ficus maxima","Ficus maxima","Ficus maxima","Ficus","Moraceae",NA,"Ficumaxim","species","tree",NA
"494","Ficus obtusifolia","Ficus obtusifolia","Ficus obtusifolia","Ficus","Moraceae","tree","Ficuobtu","species","tree",NA
"495","Ficus pandurata","Ficus pandurata","Ficus pandurata","Ficus","Moraceae",NA,"Ficupandu","species",NA,NA
"496","Ficus pertusa","Ficus pertusa","Ficus pertusa","Ficus","Moraceae",NA,"Ficupertu","species","tree",NA
"497","Ficus sp","Ficus sp","Ficus","Ficus","Moraceae","tree","Ficusp","genus","tree",NA
"498","Frangula goudotiana","Frangula goudotiana","Frangula goudotiana","Frangula",NA,NA,"Frangoudo","species",NA,NA
"499","Fridericia mollissima","Fridericia mollissima","Fridericia mollissima","Fridericia","Bignoniaceae","liana","Fridmoll","species","liana",NA
"500","Fu sp","Furcraea sp","Furcraea","Furcraea",NA,NA,"Furcsp","genus",NA,NA
"501","Furc sp","Furcraea sp","Furcraea","Furcraea",NA,NA,"Furcsp","genus",NA,NA
"502","Furcraea cabuya","Furcraea cabuya","Furcraea cabuya","Furcraea",NA,NA,"Furccabuy","species",NA,NA
"503","Gaiadendron punctatum","Gaiadendron punctatum","Gaiadendron punctatum","Gaiadendron",NA,NA,"Gaiapunct","species","tree",NA
"504","Gairicidia sepium","Gliricidia sepium","Gliricidia sepium","Gliricidia","Fabaceae","tree","Glirsepi","species","tree",NA
"505","Garcia nutans","Garcia nutans","Garcia nutans","Garcia",NA,NA,"Garcnutan","species",NA,NA
"506","Garcinia madruno","Garcinia madruno","Garcinia madruno","Garcinia","Clusiaceae","tree","Garcmadr","species","tree",NA
"507","Gauzuma ulmifolia var tomentella","Gauzuma ulmifolia","Guazuma ulmifolia","Guazuma","Malvaceae","tree","Guazulmi","species","tree",NA
"508","Geisanthus sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"509","Genipa amaricana","Genipa americana","Genipa americana","Genipa","Rubiaceae","tree","Geniamer","species","tree","LC"
"510","Genipa americana","Genipa americana","Genipa americana","Genipa","Rubiaceae","tree","Geniamer","species","tree","LC"
"511","Girocarpus americana","Girocarpus americana","Gyrocarpus americanus","Gyrocarpus","Hernandiaceae","tree","Gyroamer","species","tree",NA
"512","Glairicidia sepium","Gliricidia sepium","Gliricidia sepium","Gliricidia","Fabaceae","tree","Glirsepi","species","tree",NA
"513","Glaricidia sepium","Gliricidia sepium","Gliricidia sepium","Gliricidia","Fabaceae","tree","Glirsepi","species","tree",NA
"514","Gliciricia sepium","Gliricidia sepium","Gliricidia sepium","Gliricidia","Fabaceae","tree","Glirsepi","species","tree",NA
"515","Gliricidia sepium","Gliricidia sepium","Gliricidia sepium","Gliricidia","Fabaceae","tree","Glirsepi","species","tree",NA
"516","Gmelina arborea","Gmelina arborea","Gmelina arborea","Gmelina",NA,NA,"Gmelarbor","species",NA,NA
"517","Godmania aescacifolia","Godmania aesculifolia","Godmania aesculifolia","Godmania","Bignoniaceae","tree","Godmaesc","species","tree",NA
"518","Godmania aescucifolia","Godmania aesculifolia","Godmania aesculifolia","Godmania","Bignoniaceae","tree","Godmaesc","species","tree",NA
"519","Godmania aesculifolia","Godmania aesculifolia","Godmania aesculifolia","Godmania","Bignoniaceae","tree","Godmaesc","species","tree",NA
"520","Gonzalagunia cornifolia","Gonzalagunia cornifolia","Gonzalagunia cornifolia","Gonzalagunia",NA,NA,"Gonzcorni","species","treelet",NA
"521","Gossipium barbadense","Gossipium barbadense","Gossypium barbadense","Gossypium",NA,NA,"Gossbarba","species","treelet",NA
"522","Goupia glabra","Goupia glabra","Goupia glabra","Goupia",NA,NA,"Goupglabr","species","tree",NA
"523","Graminea sp","Graminea","Graminea","Graminea",NA,NA,"Gramsp","genus",NA,NA
"524","Gramineas sp","Graminea","Graminea","Graminea",NA,NA,"Gramsp","genus",NA,NA
"525","Guadua angustifoli","Guadua sp","Guadua","Guadua",NA,NA,"Guadsp","genus",NA,NA
"526","Guadua angustifolia","Guadua sp","Guadua","Guadua",NA,NA,"Guadsp","genus",NA,NA
"527","Guadua sp","Guadua sp","Guadua","Guadua",NA,NA,"Guadsp","genus",NA,NA
"528","Guapira costaric","Guapira costaricana","Guapira costaricana","Guapira","Nyctaginaceae","tree","Guapcost","species","tree",NA
"529","Guapira costaricana","Guapira costaricana","Guapira costaricana","Guapira","Nyctaginaceae","tree","Guapcost","species","tree",NA
"530","Guapira nigricans","Guapira nigricans","Guapira","Guapira","Nyctaginaceae","tree","Guapsp","genus","tree",NA
"531","Guapira pacurero","Guapira pacurero","Guapira pacurero","Guapira","Nyctaginaceae",NA,"Guappacur","species",NA,NA
"532","Guapira uberrima","Guapira uberrima","Guapira uberrima","Guapira","Nyctaginaceae","tree","Guapuber","species","tree",NA
"533","Guarea guidonea","Guarea guidonia","Guarea guidonia","Guarea","Meliaceae","tree","Guarguid","species","tree",NA
"534","Guarea guidonia","Guarea guidonia","Guarea guidonia","Guarea","Meliaceae","tree","Guarguid","species","tree",NA
"535","Guarea guidonia ","Guarea guidonia","Guarea guidonia","Guarea","Meliaceae","tree","Guarguid","species","tree",NA
"536","Guarea sp","Guarea sp","Guarea","Guarea","Meliaceae","tree","Guarsp","genus","tree",NA
"537","Guarea trichiloides","Guarea trichiloides","Guarea trichilioides","Guarea","Meliaceae",NA,"Guartrich","species","tree",NA
"538","Guarera sp","Guarea sp","Guarea","Guarea","Meliaceae","tree","Guarsp","genus","tree",NA
"539","Guasimo sp","Guazuma ulmifolia","Guazuma ulmifolia","Guazuma","Malvaceae","tree","Guazulmi","species","tree",NA
"540","Guatt sp","Guatteria sp","Guatteria","Guatteria","Annonaceae",NA,"Guatsp","genus",NA,NA
"541","Guatteria cf metensis","Guatteria metensis","Guatteria metensis","Guatteria","Annonaceae","tree","Guatmete","species","tree",NA
"542","Guatteria maypurensis","Guatteria maypurensis","Guatteria maypurensis","Guatteria","Annonaceae",NA,"Guatmaypu","species","tree",NA
"543","Guatteria recurvisepala","Guatteria recurvisepala","Guatteria recurvisepala","Guatteria","Annonaceae",NA,"Guatrecur","species","tree",NA
"544","Guatteria rubrinervis","Guatteria rubrinervis","Guatteria rubrinervis","Guatteria","Annonaceae",NA,"Guatrubri","species","tree",NA
"545","Guaz sp","Guazuma sp","Guazuma","Guazuma","Malvaceae",NA,"Guazsp","genus",NA,NA
"546","Guazma ulmifolia","Guazuma ulmifolia","Guazuma ulmifolia","Guazuma","Malvaceae","tree","Guazulmi","species","tree",NA
"547","Guazuma sp","Guazuma sp","Guazuma","Guazuma","Malvaceae",NA,"Guazsp","genus",NA,NA
"548","Guazuma ulmifolia","Guazuma ulmifolia","Guazuma ulmifolia","Guazuma","Malvaceae","tree","Guazulmi","species","tree",NA
"549","Guazuma umifolia","Guazuma ulmifolia","Guazuma ulmifolia","Guazuma","Malvaceae","tree","Guazulmi","species","tree",NA
"550","Guazuna ulmyolia","Guazuma ulmifolia","Guazuma ulmifolia","Guazuma","Malvaceae","tree","Guazulmi","species","tree",NA
"551","Guettarda sp","Guettarda sp","Guettarda","Guettarda","Rubiaceae",NA,"Guetsp","genus",NA,NA
"552","Gurania pacurero","Gurania pacurero","Gurania","Gurania",NA,NA,"Gurasp","genus",NA,NA
"553","Gussera fementosa","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"554","Gustavia hex","Gustavia hexapitala","Gustavia hexapetala","Gustavia","Lecythidaceae","tree","Gusthexa","species","tree",NA
"555","Gustavia hexapitala","Gustavia hexapitala","Gustavia hexapetala","Gustavia","Lecythidaceae","tree","Gusthexa","species","tree",NA
"556","Gustavia superba","Gustavia superba","Gustavia superba","Gustavia","Lecythidaceae","tree","Gustsupe","species","tree",NA
"557","Gynerium sagitatum","Gynerium sagittatum","Gynerium sagittatum","Gynerium",NA,NA,"Gynesagit","species","treelet",NA
"558","Gynerium sagittatum","Gynerium sagittatum","Gynerium sagittatum","Gynerium",NA,NA,"Gynesagit","species","treelet",NA
"559","Gyrocarpus americana","Gyrocarpus americanus","Gyrocarpus americanus","Gyrocarpus","Hernandiaceae","tree","Gyroamer","species","tree",NA
"560","Gyrocarpus americanus","Gyrocarpus americanus","Gyrocarpus americanus","Gyrocarpus","Hernandiaceae","tree","Gyroamer","species","tree",NA
"561","Haematoxylon brasiletto","Haematoxylum brasiletto","Haematoxylum brasiletto","Haematoxylum","Fabaceae","treelet","Haembras","species","treelet",NA
"562","Haematoxylum brasiletto","Haematoxylum brasiletto","Haematoxylum brasiletto","Haematoxylum","Fabaceae","treelet","Haembras","species","treelet",NA
"563","Hamelia patens","Hamelia patens","Hamelia patens","Hamelia",NA,NA,"Hamepaten","species","tree",NA
"564","Handroant sp","Handroanthus sp","Handroanthus","Handroanthus","Bignoniaceae",NA,"Handsp","genus",NA,NA
"565","Handroanthus billbergii","Handroanthus billbergii","Handroanthus billbergii","Handroanthus","Bignoniaceae","tree","Handbill","species","tree",NA
"566","Handroanthus cf chrysanthus","Handroanthus chrysanthus","Handroanthus chrysanthus","Handroanthus","Bignoniaceae","tree","Handchry","species","tree",NA
"567","Handroanthus chrysanhus","Handroanthus chrysanthus","Handroanthus chrysanthus","Handroanthus","Bignoniaceae","tree","Handchry","species","tree",NA
"568","Handroanthus chrysanthus","Handroanthus chrysanthus","Handroanthus chrysanthus","Handroanthus","Bignoniaceae","tree","Handchry","species","tree",NA
"569","Handroanthus coralibe","Handroanthus coralibe","Handroanthus coralibe","Handroanthus","Bignoniaceae",NA,"Handcoral","species",NA,NA
"570","Handroanthus crhysanthus","Handroanthus chrysanthus","Handroanthus chrysanthus","Handroanthus","Bignoniaceae","tree","Handchry","species","tree",NA
"571","Handroanthus impetiginosus","Handroanthus impetiginosus","Handroanthus impetiginosus","Handroanthus","Bignoniaceae",NA,"Handimpet","species","tree","NT"
"572","Handroanthus ochraceus","Handroanthus ochraceus","Handroanthus ochraceus","Handroanthus","Bignoniaceae","tree","Handochr","species","tree",NA
"573","Handroanthus roseus","Handroanthus roseus","Handroanthus","Handroanthus","Bignoniaceae",NA,"Handsp","genus",NA,NA
"574","Handroanthus sp","Handroanthus sp","Handroanthus","Handroanthus","Bignoniaceae",NA,"Handsp","genus",NA,NA
"575","Handroantus cristanta","Handroanthus chrysanthus","Handroanthus chrysanthus","Handroanthus","Bignoniaceae","tree","Handchry","species","tree",NA
"576","Handroathus billbergii","Handroanthus billbergii","Handroanthus billbergii","Handroanthus","Bignoniaceae","tree","Handbill","species","tree",NA
"577","Hanmdroanthus billbergii","Handroanthus billbergii","Handroanthus billbergii","Handroanthus","Bignoniaceae","tree","Handbill","species","tree",NA
"578","Heliconia lasiospatha","Heliconia lasiospatha","Heliconia latispatha","Heliconia",NA,NA,"Helilatis","species",NA,NA
"579","Heliconia latispatha","Heliconia lasiospatha","Heliconia latispatha","Heliconia",NA,NA,"Helilatis","species",NA,NA
"580","Heliconia latisphata","Heliconia lasiospatha","Heliconia latispatha","Heliconia",NA,NA,"Helilatis","species",NA,NA
"581","Heliconia platystachys","Heliconia platystachys","Heliconia platystachys","Heliconia",NA,NA,"Heliplaty","species",NA,NA
"582","Helicteres baruensis","Helicteres baruensis","Helicteres baruensis","Helicteres",NA,NA,"Helibarue","species","treelet",NA
"583","Helicteres sp","Helicteres sp","Helicteres","Helicteres",NA,NA,"Helisp","genus",NA,NA
"584","Heliocarpus popayanensis","Heliocarpus popayanensis","Heliocarpus popayanensis","Heliocarpus",NA,NA,"Helipopay","species","tree",NA
"585","Hieronyma alchorneoides","Hieronyma alchorneoides","Hieronyma alchorneoides","Hieronyma",NA,NA,"Hieralcho","species","tree",NA
"586","Himantathus articulatus","Himatanthus articulatus","Himatanthus articulatus","Himatanthus","Apocynaceae","tree","Himaarti","species","tree",NA
"587","Himatanthus articulathus","Himatanthus articulatus","Himatanthus articulatus","Himatanthus","Apocynaceae","tree","Himaarti","species","tree",NA
"588","Himatanthus articulatus","Himatanthus articulatus","Himatanthus articulatus","Himatanthus","Apocynaceae","tree","Himaarti","species","tree",NA
"589","Hippocratea volubilis","Hippocratea volubilis","Hippocratea volubilis","Hippocratea","Celastraceae","liana","Hippvolu","species","liana",NA
"590","Hirtella americana","Hirtella americana","Hirtella americana","Hirtella","Chrysobalanaceae","tree","Hirtamer","species","tree",NA
"591","Hirtella elongata","Hirtella elongata","Hirtella elongata","Hirtella","Chrysobalanaceae",NA,"Hirtelong","species","tree",NA
"592","Homalium guianense","Homalium guianense","Homalium guianense","Homalium",NA,NA,"Homaguian","species","tree",NA
"593","hora crepitans","Hora crepitans","Hora","Hora",NA,NA,"Horasp","genus",NA,NA
"594","Hora crepitans","Hora crepitans","Hora","Hora",NA,NA,"Horasp","genus",NA,NA
"595","Hstonium graucolens","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"596","Hura crepitans","Hura crepitans","Hura crepitans","Hura","Euphorbiaceae","tree","Huracrep","species","tree",NA
"597","Hybanthus prunifolius","Hybanthus prunifolius","Hybanthus prunifolius","Hybanthus",NA,NA,"Hybapruni","species","tree",NA
"598","Hydrochorea corymbosa","Hydrochorea corymbosa","Hydrochorea corymbosa","Hydrochorea",NA,NA,"Hydrcorym","species","tree",NA
"599","Hydrocorea corymbosa","Hydrochorea corymbosa","Hydrochorea corymbosa","Hydrochorea",NA,NA,"Hydrcorym","species","tree",NA
"600","Hyeronima alchorneoides","Hyeronima alchorneoides","Hyeronima alchorneoides","Hyeronima",NA,NA,"Hyeralcho","species","tree",NA
"601","Hyeronima sp","Hyeronima sp","Hyeronima","Hyeronima",NA,NA,"Hyersp","genus",NA,NA
"602","Hylocereus cf megalanthus","Hylocereus megalanthus","Hylocereus megalanthus","Hylocereus",NA,NA,"Hylomegal","species",NA,NA
"603","Hylocereus monacanthus","Hylocereus monacanthus","Hylocereus monacanthus","Hylocereus",NA,NA,"Hylomonac","species",NA,NA
"604","Hylocereus sp","Hylocereus sp","Hylocereus","Hylocereus",NA,NA,"Hylosp","genus",NA,NA
"605","Hymenaea corbaril","Hymenaea courbaril","Hymenaea courbaril","Hymenaea","Fabaceae","tree","Hymecour","species","tree","LC"
"606","Hymenaea cou","Hymenaea courbaril","Hymenaea courbaril","Hymenaea","Fabaceae","tree","Hymecour","species","tree","LC"
"607","Hymenaea courbaril","Hymenaea courbaril","Hymenaea courbaril","Hymenaea","Fabaceae","tree","Hymecour","species","tree","LC"
"608","Hymenolobium petraeum","Hymenolobium petraeum","Hymenolobium petraeum","Hymenolobium",NA,NA,"Hymepetra","species",NA,NA
"609","Hyparrhenia rufa","Hyparrhenia rufa","Hyparrhenia rufa","Hyparrhenia",NA,NA,"Hyparufa","species","forb",NA
"610","Identificaciin sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"611","Indet sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"612","Inga alba","Inga alba","Inga alba","Inga","Fabaceae",NA,"Ingaalba","species","tree",NA
"613","Inga alba ","Inga alba","Inga alba","Inga","Fabaceae",NA,"Ingaalba","species","tree",NA
"614","Inga cf cylindrica","Inga cylindrica","Inga cylindrica","Inga","Fabaceae",NA,"Ingacylin","species","tree",NA
"615","Inga cf edulis","Inga edulis","Inga edulis","Inga","Fabaceae",NA,"Ingaeduli","species","tree",NA
"616","Inga cf marginata","Inga marginata","Inga marginata","Inga","Fabaceae","tree","Ingamarg","species","tree",NA
"617","Inga densiflora","Inga densiflora","Inga densiflora","Inga","Fabaceae",NA,"Ingadensi","species",NA,NA
"618","Inga edulis","Inga edulis","Inga edulis","Inga","Fabaceae",NA,"Ingaeduli","species","tree",NA
"619","Inga fastuosa","Inga fastuosa","Inga fastuosa","Inga","Fabaceae","tree","Ingafast","species","tree",NA
"620","Inga interrupta","Inga interrupta","Inga interrupta","Inga","Fabaceae",NA,"Ingainter","species",NA,NA
"621","Inga marginata","Inga marginata","Inga marginata","Inga","Fabaceae","tree","Ingamarg","species","tree",NA
"622","Inga sp","Inga sp","Inga","Inga","Fabaceae","tree","Ingasp","genus","tree",NA
"623","Inga spectabilis","Inga spectabilis","Inga spectabilis","Inga","Fabaceae",NA,"Ingaspect","species",NA,NA
"624","Inga vera","Inga vera","Inga vera","Inga","Fabaceae","tree","Ingavera","species","tree",NA
"625","Ipomoea pres caprae","Ipomoea sp","Ipomoea","Ipomoea","Convolvulaceae","liana","Ipomsp","genus","liana",NA
"626","Iriplavis americana","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"627","Jacaranda copaia","Jacaranda copaia","Jacaranda copaia","Jacaranda","Bignoniaceae",NA,"Jacacopai","species","tree",NA
"628","Jacaranda obtusifolia","Jacaranda obtusifolia","Jacaranda obtusifolia","Jacaranda","Bignoniaceae","tree","Jacaobtu","species","tree",NA
"629","Jacaranda sp","Jacaranda sp","Jacaranda","Jacaranda","Bignoniaceae",NA,"Jacasp","genus",NA,NA
"630","Jacaratia digitata","Jacaratia digitata","Jacaratia digitata","Jacaratia",NA,NA,"Jacadigit","species","tree",NA
"631","Jacquinia arsistata","Jacquinia arsistata","Jacquinia aristata","Jacquinia","Primulaceae",NA,"Jacqarist","species",NA,NA
"632","Jatropha gossypifolia","Jatropha gossypiifolia","Jatropha gossypiifolia","Jatropha","Euphorbiaceae","shrub","Jatrgoss","species","shrub",NA
"633","Jatropha gossypiifolia","Jatropha gossypiifolia","Jatropha gossypiifolia","Jatropha","Euphorbiaceae","shrub","Jatrgoss","species","shrub",NA
"634","Justicia sp","Justicia sp","Justicia","Justicia",NA,NA,"Justsp","genus",NA,NA
"635","Lacistema agregatum","Lacistema agregatum","Lacistema aggregatum","Lacistema","Lacistemataceae","tree","Laciaggr","species","tree",NA
"636","Lafoensia punicifolia","Lafoensia punicifolia","Lafoensia punicifolia","Lafoensia",NA,NA,"Lafopunic","species",NA,NA
"637","Lantana camara","Lantana camara","Lantana camara","Lantana","Verbenaceae","forb","Lantcama","species","forb",NA
"638","Lauraceae sp","Lauraceae","Lauraceae","Lauraceae",NA,NA,"Laurfm","family",NA,NA
"639","Lecythis minor","Lecythis minor","Lecythis minor","Lecythis","Lecythidaceae","tree","Lecymino","species","tree","LC"
"640","Leguminosa sp","Fabaceae","Fabaceae","Fabaceae",NA,NA,"Fabafm","family",NA,NA
"641","Leucaena glauca","Leucaena glauca","Leucaena glauca","Leucaena","Fabaceae",NA,"Leucglauc","species",NA,NA
"642","Leucaena leucocephala","Leucaena leucocephala","Leucaena leucocephala","Leucaena","Fabaceae","tree","Leucleuc","species","tree",NA
"643","Leucaena leucocephalla","Leucaena leucocephala","Leucaena leucocephala","Leucaena","Fabaceae","tree","Leucleuc","species","tree",NA
"644","Leucaena leucochepalla","Leucaena leucocephala","Leucaena leucocephala","Leucaena","Fabaceae","tree","Leucleuc","species","tree",NA
"645","Leucaena sp","Leucaena sp","Leucaena","Leucaena","Fabaceae",NA,"Leucsp","genus",NA,NA
"646","Li sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"647","Libidibia coriaria","Libidibia coriaria","Libidibia coriaria","Libidibia",NA,NA,"Libicoria","species",NA,NA
"648","Libidibia ebano","Libidibia ebano","Libidibia ebano","Libidibia",NA,NA,"Libiebano","species",NA,NA
"649","Lica sp","Licania sp","Licania","Licania","Chrysobalanaceae","tree","Licasp","genus","tree",NA
"650","Licania alba","Licania alba","Licania alba","Licania","Chrysobalanaceae",NA,"Licaalba","species","tree",NA
"651","Licania ape","Licania apetala","Licania apetala","Licania","Chrysobalanaceae","tree","Licaapet","species","tree",NA
"652","Licania apetala","Licania apetala","Licania apetala","Licania","Chrysobalanaceae","tree","Licaapet","species","tree",NA
"653","Licania hypoleuca","Licania hypoleuca","Licania hypoleuca","Licania","Chrysobalanaceae",NA,"Licahypol","species",NA,NA
"654","Licania kunthiana","Licania kunthiana","Licania kunthiana","Licania","Chrysobalanaceae",NA,"Licakunth","species","tree",NA
"655","Lindackeria paludosa","Lindackeria paludosa","Lindackeria paludosa","Lindackeria","Achariaceae","tree","Lindpalu","species","tree",NA
"656","Lippia origanoide","Lippia origanoides","Lippia origanoides","Lippia","Verbenaceae","tree","Lipporig","species","tree",NA
"657","Lippia origanoides","Lippia origanoides","Lippia origanoides","Lippia","Verbenaceae","tree","Lipporig","species","tree",NA
"658","Litiaceae sp","Liliaceae","Liliaceae","Liliaceae",NA,NA,"Lilifm","family",NA,NA
"659","Lonchocarpus acapulcensis","Lonchocarpus acapulcensis","Lonchocarpus","Lonchocarpus","Fabaceae",NA,"Loncsp","genus",NA,NA
"660","Lonchocarpus punctatus","Lonchocarpus punctatus","Lonchocarpus punctatus","Lonchocarpus","Fabaceae",NA,"Loncpunct","species","tree",NA
"661","Lonchocarpus sancta-marthae","Lonchocarpus sanctae-marthae","Lonchocarpus sanctae-marthae","Lonchocarpus","Fabaceae","tree","Loncsanc","species","tree",NA
"662","Lonchocarpus sanctae marthae","Lonchocarpus sanctae-marthae","Lonchocarpus sanctae-marthae","Lonchocarpus","Fabaceae","tree","Loncsanc","species","tree",NA
"663","Lonchocarpus sanctae narthae","Lonchocarpus sanctae-marthae","Lonchocarpus sanctae-marthae","Lonchocarpus","Fabaceae","tree","Loncsanc","species","tree",NA
"664","Lonchocarpus santae marthae","Lonchocarpus sanctae-marthae","Lonchocarpus sanctae-marthae","Lonchocarpus","Fabaceae","tree","Loncsanc","species","tree",NA
"665","Lonchocarpus sp","Lonchocarpus sp","Lonchocarpus","Lonchocarpus","Fabaceae",NA,"Loncsp","genus",NA,NA
"666","Luehea candida","Luehea candida","Luehea candida","Luehea","Malvaceae",NA,"Luehcandi","species",NA,NA
"667","Luehea seemannii","Luehea seemannii","Luehea seemannii","Luehea","Malvaceae","tree","Luehseem","species","tree",NA
